🙂,🙂,맛있어요 
라멘가츠동교자가리아게 주문해서 먹었어요.가츠동 나오고 라멘은 나오자마자 먹어서 사진이 없내요~~일본에서 먹었던 라멘 생각나서 먹었는데 더 맛있내요.아이들도 맛있다고 잘먹었어요.또 올게요. 감사합니다.,언제와도 맛있는 솔라멘~~ 이집만의 라멘 국물이 이집만의 맛이 있어서 자꾸 찾아오게 됩니당 오늘은 가라아게도 같이 시켰는데 전에 먹었을때보다 더 맛있게 느껴졌어요!,아담하고 분위기 좋은 맥주집안주 맛있고주인 내외분 너무 친절하심또 갈집
혼밥하기도 좋고 메뉴도 다양해서 이것저것 맛보기 좋아요,반은 먹고 반은 가지고갈수있냐고 여쭈니 아주 친절하시게 그리 해주셨어요 식구도 콩국수 맛있게 잘먹었어요 부득이하게 다른식구가 분식먹고싶어서 포장했는데 흔쾌히 허락해주셨어요 음식도 맛있네요 종종올게요 대박나셔요~😄👏🏻💕,여기 처갓집 진짜 맛있어요!! 가끔 슈프림양념치킨이 땡길때 먹습니다 ㅎㅎ  사장님도 친절하시고 여기지점은 튀김이 바삭하고 살도 퍽퍽하지 않아서 항상 맛있게 먹습니다 더 잘되었으면 좋겠어요 !!!
감일동 돌아다니다가 고깃집 새로 생겼다해서 왔는데 정말 맛있는 고깃집 찾은 것 같네요 강동구 사는데 감일동까지 찾아와서 먹을 정도로 정말 맛있는 것 같아요 그리고 잘라서 초벌시켜 나와서 고기도 거의 안구워도 되고 불 조절도 하기 쉬워서 정말 편리한 것 같네요 맛있게 잘 먹고 갑니다 자주 올게요 단골 예약이요 !!,넓고. 한적해서 편안하게식사했네요..초벌 삽겹살 맛났네요,삼겹살도 맛있는데 닭갈비도 역시 최고네요~ 닭갈비 고기도 육즙이 살아있고 양념이랑 참나물에 양배추 각종 야채들과 넘 조화로운 맛이예요~ 오늘은 치즈닭갈비 먹었는데 치즈에 찍어서 직접 담그시는 무쌈이랑 깻잎에 상추 싸서 먹으니 늠 행복하더라구요~ 정말 자꾸 생각나는 맛집입니다~강추강추!!!!!!
굿,굿~,하남에 지호한방삼계탕이 몇개있는데..저는 집에서 제일 멀지만 미사로 꼭 옵니다‼️‼️ 반찬 셀프코너도 생겨서 더 좋습니다👍👍
분위기 좋아요,가성비 좋아요가격이 저렴하네요안주가 아기자기해요,맛집 발견! 감자탕 먹고싶은날엔 여기로 올거에요. 푸짐한 뼈다귀. 잘익은 묵은지. 쫄깃한 수제비를 곁들이니 정말 맛있네요. 게다가 연노랑 모자쓰신 사장님의 친절은 맛있는 음식의 맛을 열배 더 맛나게 해주시네요.  이렇게 밝은 모습으로 서빙해주시는 모습을 보면 기분도 좋아지고 다시 오고싶은 마음이 꼭 생기더라고요. 강추  한표요!!!
포장해왔어요 상추랑 무김치주셔서 좋네요!맛도 좋고 양도 꽤되네요 그리고 친절하세요매장 내부에서도 식사가능하고 살코기 좋아하는 분들도 좋아할것같아요! 맛집 찾은것같아 기뻐요ㅋㅋㅋ자주갈게요~,꼭 여기서 드셔보세요이런가게는 처음이였어요손님한테. 직접 술가져다먹으라하고춥다는데 주인은 덥다고 에어컨틀고 옆에 손님도 짜증내고주인은 앉아서 가만있고정말좋았어요오래오래 장사했으면 좋겠어요세상 놀라서 리뷰처음다네요도가지나치게좋아요,방문시간까지 이야기했는데 미리 만들어놓고 막상 방문하니 자리 비워 십분이상 기다리다 가 식은 치킨을 받아왔네요. 실망입니다. 
중식당 맛있고 좋아요 친절하세요 추천합니다,👍🏻👍🏻,홍진 스탬프 투어하려는 목적으로 처음 방문했습니다.그냥 카페인 줄 알았는데 자전거&용품 샵 겸 카페였네요..매장을 고급스럽게 깔끔하게 꾸며 놓았어요..홍진  헬맷 카스크 헬맷 많이 있고 온라인에서만 봤던 라메다 시착 및 구입 가능한 매장입니다.은근 볼거리 있어요..스탬프 투어 덕에 처음 방문했는데 앞으론 종종 방문할 듯 합니다.아참.. 바닐라빈 라떼 마셨는데 맛있었어요!쿠키도 다양하게 판매합니다.
매장 완전 깔끔하고 친절하세요 ㅎㅎ,도너츠가 맛있어요! 직원분도 짱 친절!!,새로옮긴 매장이 아주넓고 좋습니다ㅎㅎ   셀프바로바뀌고 더좋아졌어요 ㅎㅎ볶음밥 셀프로할수있어요
그럭저럭 먹기엔 괜찮아요,게다리된장찌게는 반조리 상품이고요.포장 뜯어서 그냥 끓이면 되더라고요.게다리는 딱 한개 들어있었습니다. ㅋ,잡내없는 찐국!!! 이런집 드물거 같습니다.
사시미 너무 맛있어요 ㅠㅠㅠㅠㅠㅠㅠ 넘 맛있어서 울면서 먹었어요 ,양이 어마무시하네요 고기 질도 너무 좋구요저 노란소스랑 육회가 너무 잘 어울려요 앞으로 자주 시켜 먹을거 같아요!맛있게 잘 먹었습니다😋,굿
신랑 생일이라 큰 마음 먹고 다녀왔어요! 신랑이 회도 스시도 너무 좋아하거든요~ 전날 예약하고 오후 12시에 와서보니 만석이라니요~~정말 놀랬네요. 셰프님께서 설명도 잘해주시고 끊임없이 나와서 배 불러서 혼났네요 ㅎㅎ 생일이라고 하니 스시도 더 챙겨주시고 마지막에 조각케이크까지 신랑도 너무 너무 좋았했어요! 다음에 또또 올거에요~ 셰프님 영광이었습니당! ㅎㅎ,아이 생일이라 다녀왔어요. 음식에 대해 친절히 설명해 주시고 룸으로 예약해서 저희끼리 식사 잘 하고 왔습니다.생일이라고 하니 조각케익 아이가 좋아하는 회도 서비스로 주셨어요. 엄청 맛있게 잘 먹고 왔습니다. 꼭 가보세요~ 후회하지 않으실 겁니다. 강추입니다!,카페알로   커피맛도 맛있고 불고기포케보울도  너무 맛있어요 매장도 깔끔하고 친절했어요   하남 미사쪽에 올때면 생각나는 곳이예요  다음엔 다른 메뉴들도 다 맛보구싶네요 오늘 시킨 메뉴도 성공
뱃속에 있는 둘찌까 뱀띠라 그런건지ㅋㅋㅋ닭이 계속 당기네요ㅋㅋㅋㅋ 맵슐랭 핵졸맛탱,넘넘 맛있어용맵슐랭~😀,국내산 자포니카 장어라그런지 크기도 크고 통통해서 정말 부드럽고 담백해요!!평소에 장어좋아하는데 오랜만에 제대로된 장어구이먹은것같아서 기분이좋네요😊양도많고 다구워주셔서 편하게먹을 수 있고 후식으로 김치말이국수까지먹으면 완전극락이에요🤍미사역장어 맛집 찾으신다면 바로여기에요!!!!
커피 맛있어요. 분위기듀 좋아요,직접 구워주신 빵과 쿠키♡ 맛에 반해 단골 되었네요^^ 커피도 맛있지만 오늘은 미숫가루로 시켰어요~ 커피 못드시는 분들께는 파인키위수제에이드 추천해드립니다^^ 사진도 넘 이쁘게 나오고 올 때마다 기분 좋은 카페입니다.사장님~ 대박나시고 오래오래 맛난 빵 쿠키 만들어 주세요 ㅎㅎ,여기 찐 맛집이네요!!고기질도 좋고. 밑반찬들이 맛있어요특히 매장 분위기가 정말 좋았어요
미사에 수제비 맛집이 있었어요. 저는 만두만 맛있는지 알았는데 수제비가 너무 맛있습니다. 특히 삭힌 고추랑 먹으면 이야 진짜 지금도 입에 침이 고이네요. 수제비가 생각날 때가 있잖아요. 그때 한번 드셔보시면 너무 제말을 공감하실 겁니다. 손으로 하나하나 떠서 만든 수제비 너무 꿀맛입니다. 강추에요. 내돈내산.또 올게요.,미사에 수제비 맛집이 있었어요. 저는 만두만 맛있는지 알았는데 수제비가 너무 맛있습니다. 특히 삭힌 고추랑 먹으면 이야 진짜 지금도 입에 침이 고이네요. 수제비가 생각날 때가 있잖아요. 그때 한번 드셔보시면 너무 제말을 공감하실 겁니다. 손으로 하나하나 떠서 만든 수제비 너무 꿀맛입니다. 강추에요. 내돈내산.또 올게요.,손님없음.고기쉰맛나서 교체해줌.
캠핑장 분위기 나고 야외에서 고기 구우니 냄새 및 연기로 적게 맡아서 좋네요. 소고기 맛나구요.. 오겹살은 소고기 대비 그럭저럭이었어요.콜키지에 대한 안내가 부족하네요. 첨 가보는거라 잘 몰라 물어봤는데 서빙하시는분이 “소주/맥주는 여기서 시키는게 기본이에요. 와인과 위스키는 가져오셔도 됩니다만 잔은 없어요. ”말투가 무표정으로 가르치는듯한 뉘앙스라 좀 기분이 그랬네요..그래도 후식 아이스크림도 있고 한우 새우 김치 명이나물 등은 맛있었어요. 재방문 의사 있습니다. 다만 직원분들 친절함이 좀 아쉽네요.,캠핑장 분위기 나고 야외에서 고기 구우니 냄새 및 연기로 적게 맡아서 좋네요. 소고기 맛나구요.. 오겹살은 소고기 대비 그럭저럭이었어요.콜키지에 대한 안내가 부족하네요. 첨 가보는거라 잘 몰라 물어봤는데 서빙하시는분이 “소주/맥주는 여기서 시키는게 기본이에요. 와인과 위스키는 가져오셔도 됩니다만 잔은 없어요. ”말투가 무표정으로 가르치는듯한 뉘앙스라 좀 기분이 그랬네요..그래도 후식 아이스크림도 있고 한우 새우 김치 명이나물 등은 맛있었어요. 재방문 의사 있습니다. 다만 직원분들 친절함이 좀 아쉽네요.,혼술하려구 사갔는데 완전완전맛있구 깻잎 넣어주신 센스..♡ 완전 맛있게 잘 먹었습니다..!! 닭발맛집진짜ㅏ
포케 양이 적은 편이지만 맛있어요~!,청결해요나중에 가면죽을 죽처럼 끓여주세요푹퍼지지않아죽먹는것 같지않았어요,동네에 생겨서 궁금했어요! 사람들도 많아서 방문해봤어용!ㅋㅋㅋ 속 재료가 많이 들어있어서 맛있어요!! 요즘 짬뽕먹으면 거의 양파만 넣어주시던데 ㅠㅠ 여기는 여러가지 많이 들어있어서 좋아요!! 또 방문할게요❤️
좋아요,야장 점수에 백점만점 맥주맛에 천점만점 입니다 또 갈게요 사장님 ~.~,두부김치 오징어숙회 우동 먹었어요. 술집이지만 아이가 먹을만한 메뉴가 몇가지 있어 좋아요. 저녁에 일찍 갔더니 손님 없었고 매장이 엄청 넓어요.  음식은 다 맛있었어요. 우동은 기존 면보다 얇은데 아이가 맛있게 먹었어요. 두부김치에 김치가 약간 마라맛이 나는듯 했는데 그것대로 맛있어요.
생맥주가 신선하고 맛있어요 ,굿,수제비 좋아해서 수제비 추가로 중자 시켰어요아이랑 같이 먹었는데 양도 많고 맛있어용이번엔 배불러서 못 먹었는데 다음에는 꼭 볶음밥도저언 :)
너무 맛난 식사 였어요~가성비 좋은 식사정성어린 음식이었습니다^^,진짜 많았던 장어양 가성비 진짜 좋아요 육회도 맛있고 특히 문어숙회랑 소라가!!진짜 맛있었어요 시장 바로 안에 들어가면 있어서 찾기도 쉽고 가성비최고!!!,가족모임으로 좋아요. 맛있게 잘먹었어요~~
넘나 맛있어요번창하십셔,맛있어요~,굿
카레 돈까스 먹었는데 맵기 조절도 되고 돈까스도 카레도 참 맛있네요. 이 가격에 이런 음식 먹을 수 있다니 정말 사장님께 감사드립니다.,아이들이 돈까스 좋아해서 가끔 포장해서 집에서 먹어요.맛있어요~,리뷰참여해서 꼬리곰탕 당첨됐어요 이번이 두 번째😍 갈비도 맛있고 반찬도 맛있고 복권도 당첨되고 기분 최고예요
재료도 신선하고 조합이 좋아서 골고루 맛있어용 ㅎㅎ 사장님도 친절하시구 좋아요 담에 또 올게용,메뉴 구성이 좋고 직원분이 직접 구워주세요~맛있어요~,분위기 깡패라 술이 술술~들어가요메뉴 구성도 알차고사장님께서 술에 대해 설명도 잘 해주셔서알고마시니 더욱더 좋았어요분위기가 카메라에 안담겨 속상한 1인 입니다.뷰도 좋구 음악이 너무 좋아서술마시기 최고의 분위기예요!!데이트장소 찜콩 👍 
하남 미사에서 고기 제일 맛있는집 아닐까 싶어요.. 전직장 회식을 통해 알게된 곳인데 모두 찐 하남인들이었거든요 여기로 오는 이유가 있던 것 같네요 ㅋㅋㅋ 지금은 신랑이랑 저랑 완전 최애 하남 삼겹살집이에요!!! 미나리는 꼭꼭 드세요 완전 별미입니다👍🤤,하남. 미사 삼겹살 맛집 맛찬들! 역시 언제먹어도 맛있어요 ㅎ고기질이 좋으니 구워놓으면 고기 잡내없이 고소~한 맛!직원분이 다 구워주시고.. 맛있게먹을수 있도록 세팅까지 완벽히 해주시네요.. 고기초밥 ㅋㅋ고기랑 함께 먹는 콩나물파무침 덕분에 느끼하지않게 잘 먹었어요. 마무리는 구수한 차돌 된장찌개와 돌솥밥. 누룽지! 시작부터 마무리까지 완벽한 미사맛집입니다! ㅎ,마침 바깥자리에 자리가 있어서😊생삼겹인데 고기가 넘모 맛있어욜!!!!!5명이서 삼겹+목살 8인분 뿌시고볶음밥 4개볶은거 실화?!!!!!💚밑반찬도 실하고 쌈채소도 깨끗하고야장 분위기까지 미춌다리사장님 세상 쿨하시고 친절하셔요!!!!
키토김밥은 사랑입니다^^불고기떡볶이는 좀 매워요~~~~담에 지나갈 일 있으면 키토김밥 또 사먹을거에요 ㅎㅎ,제 입맛에 잘 맞아서 맛있게 잘 먹었습니다 다음에 또 먹으로 방문하겠습니다ㅎㅎ,미사에 놀러왔다가 라멘이나 우동 먹자고 돌아다니다가 깔끔해보여서 큰 기대감없이 들어왔었는데요. 돈고츠라멘은 기본에 충실한 진하고 감칠맛나는 국물이 맛난 라멘이었구요. 새로운 메뉴라고 해서 도전정신으로 주문해본 바지락 시오라멘은 조금 짭짤하긴 했지만 좀더 깔끔한 국물을 좋아하는 분께 추천할만한 맛입니다. 식당에 다진마늘이 준비되어있으니 꼭 넣어서 드시길 추천드려요. 국물이 저희는 더 맛나더라구요. 참 궁금해서 주문한 가라아케도 치킨 조각들 사이즈가 좀 작기는 해도 겉바속촉 굿이었어요. 서울에 거주하고 있어 미사에 자주 오진 않지만 온다면 또 들르고 싶은 라멘집입니다. 굿굿! 👍
반찬 국 모든 음식이 다 맛있어요~!,반찬 국 모든 음식이 다 맛있어요~!,너무 맛있어용!! 사장님이랑 알바분들 다 친절하시고 빠르게 응대해주셔서 좋았습니다. 무엇보다도 무한리필집임에도 불구하고 고기 퀄이 너무 좋아요~ 점심 특선 만원이라 그냥 매일 다니겠습니다^0^
굳굳,사장님 친절하시고 음식 맛있어요,와 여기 분위기가 너무 좋아요ㅠㅠ!! 미사에 이렇게 분위기 좋은 곳이 있었나 싶을 정도로..! 맥주 종류가 정말 많은데 맛도 다양하고 맛 설명이 잘 되어있어서 좋았어요! 예전에 처음으로 페일 맥주를 마셨을 때의 충격을 받았습니당... 이런 맥주가 있다니! 싶었어요ㅎㅎ 노래도 진짜... 이 공간에 어떻게 저런 스피커를 뒀지 너무 궁금하기도 하고 마치 꿈의 가게! 같은 느낌이었어용 안주는 다양하지는 않았지만 맛있었고 사장님이 피자를 준비하고 계시더라구요ㅋㅋ 피자 생기면 다시 와보려고용! 노래 선곡이나 스피커가 완벽했는데 마냥 시끄러운 게 아니라 일행과 대화하기 정말 좋았습니다! 술도 안주도 분위기도! 모두 맛집인 곳이었어요! 맥주 종류도 다양한데 샘플러로 한 번에 맛볼 수 있는 점도 정말 좋았습니다!!
피자 가게 도장깨기 하는 커플입니다. 토핑을 이렇게 꽉꽉 채워주는 곳은 처음 봤어요. 연신 맛있다최고다 하면서 먹었네요. 도우는 쫀득한데 겉이 살짝 바삭거려서 같이 나오는 어니언소스(?) 찍어 끝까지 다 먹었어요. 사장님도 정말 친절하시고요.앞으로 우린 피자하면 미남피자..,사장님 친절하고 피자도 맛있습니다토핑 두둑합니다^^,^^
생각보다 돼지갈비 소고기 다 넘 맛있어서 놀랐구요 작은 샐러드바에 신선한 야채랑 밑반찬 등도 맛있었네요 재방문각이에요~~,갈비탕과 고기 다 맛있었는데...,미사에 위치한 군산오징어 다녀왔어요잠실에서도 맛있게 먹었는데 미사도 똑같이 맛있어요 ㅎㅎ오삼불고기에 오새튀김 그리고 볶음밥까지 먹었는데 배불러서 튀김은 포장해왔어요 ㅎ신선한 오징어와 삼겹살 콩나물과 미나리의 조화가 좋고 무엇보다 양념이 맛있으니 뭘 섞어도 다 맛있어요 ㅎㅎ 덜매운맛으로 했는데 적당히 매워서 딱 좋았고 매콤할때 튀김으로 진화시켰어요 ㅎ 이 맛있는 양념에 볶음밥은 포기할 수 없죠? 주차는 매장 뒤편에 할 수 있고 아기의자도 있어요!
청담맛집 으로 유명한 곳인 만큼분위기도 너무 좋고 매장 곳곳 안예쁜곳이없네요❤️음식도 전부 너무 맛있고 직원분들도 다들 너무 친절하셔서 기분좋게 좋은시간 보내구 가용 ㅎ특히 우니파스타는 진짜 너무 맛있었어요!!청담분위기맛집 인정!빠른시일내에 또 방문할거에요🩷,압로에 분위기 좋고 300평 규모에 음식까지 맛있는 곳 피플더테라스 완전 강추에요!!음식 하나하나 다 맛있고 소개팅 지인모임 생일파티 등으로 방문하기 너무 좋을 것 같아요 ㅎㅎ자리마다 분위기도 달라서 여러번 방문해도 색다른 느낌을 받을 수 있을 것 같아요 !,굿
검단산 내려오는길에 스을쩍 쌈밥집들렸습니다~서빙로봇이 서빙도 하고 잔치국수도 무료여서 즐겁게먹었네요:)쌈중에 당귀있어서 입맛에 잘맞았습니다:) 간장제육도 맛있었어요! 된장도 직접만드시는지 시판이 아닌듯ㅎㅎ,착한쌈밥 하남한우 샵인샵이드라구요.소고기 한우모듬 잘 먹고가요.매장이 넓고 소기도 신선했어요.다음에는 쌈밥도 먹으러 갈게요♡,닭갈비 먹을까 해서 검색해서 왔다돌삼닭. 선택하길 잘 했네요고딩 아이도 함께 왔는데 넓은 돌판위에서맛있게 먹어요
사시미와 육회를 합리적인가격에  같이 즐길수 있어요 검색하고 예약후 첫방문~ 회보단 육회를 맛있게 먹었어요,사시미와 육회를 합리적인가격에  같이 즐길수 있어요 검색하고 예약후 첫방문~ 회보단 육회를 맛있게 먹었어요,😋
사진찍는것을  깜박했네요.넘  맛있어서   순식간에  먹어치웠네요.겉바속촉의  원조 쫄깃하게  씹히는문어풍성한  가스오부시~~~~♡매콤갈릭  청양마요  오리지널  모두맛있어요가까운곳에  타코야끼가있어   넘좋습니다.자주  방문할것같아요.^^폭풍성장  대박나시길  바래요~,여기 타코야끼 내 인생 타코야끼생맥주도 걍 미쳤음,혼밥 하기 좋은 메뉴~~가성비 최고 👍 연어 육회 골고루 먹을 수 있는 메뉴가 있음~ 한가지 아쉬운 점은 덮밥 야채가 다양했으면~~
배민으로 주문  후 맛있어^^ 직접방문 했어요 ㅎㅎ 음식~뷰~ 맛집 추천합니다 ^^ 👍+,음식도맛있고 뷰도 너무 좋아요 호수공원쪽 2층이라좋네요,육회 준비되었다는 소식에 즐거운 마음으로 구매해왔어요.언제나처럼 고기질 너무 좋고 맛있어요. 포장도 깔끔해서 기분 좋게 잘 먹었습니다.
안심카츠가 특히 맛있구요 육회도 싱싱하고 비빔밥 양도 많아서 좋아요! 재료를 아끼지 않으시는 것 같아요 ㅎㅎ 너무너무너무 맛있네용,자주 시켜먹는 맛집입니다!와서 먹으면 더맛있고요!직원분들 늘친절하셔요~오늘도  갑자기 궁사부 먹고싶다고 해서 급 나왔어요~~저의 호평동 맛집입니당~,굉장히 건강한 맛있데 맛도 있어요~ 칼국수사리 추가해서 드시는거 강추!
너무 맛있게 잘 먹었습니다! 양도 많고 고기도 쫄깃 부드럽고 너무 좋았어요! 담에  또 갈게요!,술이 술술 들어가는 매운 갈비찜.. 사장님 너무 친절하신건 말해모해고 계란찜이 기본으로 나오다뇨.. 말 다했죠… 하남에 이런 맛집 생겨서 좋아여ㅠㅠ 내 고향 하남에 이런 맛집이 사장님 오래 장사해주세여ㅠㅠㅠㅠ,🫶🏻
하남풍산에 부안집 자주오는곳~사장님들이나 알바분들 짱친절~고기도잘구워주시고특히 서비스로 나오는 김치찌게가 JMT입니다요^^~,고기가 맛있어요부드러우면서 씹는 식감이 좋아요10분밥도 맛있고 살얼음물쫄면도 맛있었습니다맛있게 잘 먹었어요이 글은 본 업체로부터 서비스를제공받고 솔직하게 작성한 글입니다,처음 시켜봐서 뭐가 맛있을지 몰라 하프앤하프 2가지 맛으로 주문했어요. 미남고구마피자랑 콤비네이션 반반 주문했는데 둘 다 취향저격~ 치즈도 많이 뿌려주시고 재료 아낌 없이 넣어주셔서 넘 맛있고 든든하게 먹었습니다😉
자주 시켜요.  포장할인도 해 주시고 감사,좋아요.,조명도 적당하고 안주도 맛있어요~
음식이 다 맛있어요. 세트에 있는 닭꼬치는 기본이 양념이라 아이 먹을거라면 주문할때 소금구이로 해달라고 말해야해요. 아이가 염통 닭꼬치 목살 그리고 기본안주로 나오는 과자 좋아해서 종종 가요. ,음식이 다 맛있어요. 세트에 있는 닭꼬치는 기본이 양념이라 아이 먹을거라면 주문할때 소금구이로 해달라고 말해야해요. 아이가 염통 닭꼬치 목살 그리고 기본안주로 나오는 과자 좋아해서 종종 가요. ,굿
주차요금너무비싸요,어머님 좋아하시는 대게 사드리러 하남까지용인애서 한시간 이상을 이동해서 게+멍게+산낙지 초이스주말이고 연말이라 그런지 대기가 엄청나네요늘 가던 식당이 만석이라 옆식당 소개받고 갔어요친절하셔서 손질해준 음식들 잘먹고왔네요,맛은 무난했어요. 투움바는 좀 덜 꾸덕한 느낌.피클같은 것도 없고 수저도 픽업도 다 셀프인 거 치고는 가격이 비싼 거 같아요.특히 주차는 진짜 불편해서 뚜벅이로 가시는 거 추천..
베이글 최애 맛집🧡,잠봉뵈르 베이글 베이글 핫도그 플레인 베이글 블랙 베이글 바질 롤치즈 베이글을 아침 대용으로 먹으려고 포장해 갔어요. 잘 포장해주셨고 보관법도 상세하게 적어 주셨어요.핫도그나 잠봉뵈르는 냉장고에 두고 2일내에 먹었고 나머지는 냉동보관으로 10일 지나 먹었어도 맛에는 차이가 없었어요. 셋트대로 사는게 조금은 저렴한것 같긴한데 저는 먹고싶은것 위주로 샀어요. ,
첫방문해서 이것저것 다 시켜봤는데 맛없는게 없네유..?🩷👍🏻사장님 직원분들 다 너무 친절하시고!분위기도 좋아서 데이트 제대로 하고왔어용또 방문할게요!,지나가다가 우연히 들렸는데 너무 좋네요!노래도 취향저격에 맛도 좋아요!좋아하는 메뉴로 가득차있어요기린생맥도 맛있고 하이볼도 맛있어요재방문의사 무조건 있습니다!,언제와도 맛있는 솔라멘~~ 이집만의 라멘 국물이 이집만의 맛이 있어서 자꾸 찾아오게 됩니당 오늘은 가라아게도 같이 시켰는데 전에 먹었을때보다 더 맛있게 느껴졌어요!
유명한 갓덴스시 드디어 먹어봤네여!스타필드 식당가 진짜 너무너무 더워서 입으러 들어가는지 코로 들어가는지 모르겠..그나마 덜 더운거 먹으려고 급 초밥먹었는데 만족했어요! 구성도 좋고 양도 많았습니다,가지초밥 맛있었음한 번 먹어본걸로 족함,친절하세요항상 마늘간장강정 대로 먹는데 아이들도 잘먹고여긴 무도 맛있어요. 남은걸 다음날 먹었는데도냄새 안나고 맛있었어요.  아저씨도 친절하세요
직원분들이 친절하시고 매장도 청결해요! 야장 좌석도 있어서 요즘 날씨에 딱이에용 맛도 너무 맛있어요! 1차 먹고 와서 배부른데 아니면 왕창 시켜먹었를 것 같아요,우연히 걷다가 들어왔는데 미사에 이런곳이 있을줄 몰랐어요 노래도 너무 좋고 시끄럽지않고 차분하고 음식도 하이볼도 너무 맛있어요,달짝지근하니 맛있네요. 근데 매운걸 심하게 못 먹는 저는 순한맛 시켜도 좀 맵네요.. 통오징어 올라오긴 하는데..조금만 더 통통한 오징어였으면. 그럼 단가가 안 맞겠지만.
처음 시켜봤는데 괜찮은데 조금 단 편이에요!조금 더 매콤하면 좋겠어요 ㅎㅎ,처음 시켜봤는데 괜찮은데 조금 단 편이에요!조금 더 매콤하면 좋겠어요 ㅎㅎ,아이 어른 모두 좋아할 만한 메뉴입니다. 주차 공간 넉넉하고 사장님도 친절하세요. 미나리와 야채 무한 리필로 많이 먹었는데칼국수와 죽도 너무 맛있어서 배가 부른데계속 먹게되네요.
월남쌈도 샤브샤브도 다 맛있어요~ 믿고가는 맛집~!!!^^,요즘 같이 채소가 비싼데 소담촌은 가격도 착하게먹을수 있네요~음식들은 항상 깔끔하고 맛있어요.채소 싫컷 먹었어요.,낚시터 뷰 🖼 공간이 넓어 대화 나누고 좋고바닐라빈라떼도 맛있네요 ㅎㅎ
여름에 오기좋은 국밥 더울수록 뜨듯하게 먹어야죠 [중요 밑반찬 깍두기 김치가 찐맛도리]그리고 술마신 다음날에 해장으로 먹기 좋은것 같아요 점심에오면 점심 특선?으로 편백찜이랑 같이 먹을수있어서 👍🏻 3층에서 운동하고 바로 내려와서 먹기 좋은것 같아욤,가격도 착한데 맛집이라 자주와요!아기의자도 있고일단 메뉴들이 최고입니다>_< 대박나세요,빙수 맛있어요 정원카페답게 뷰도 좋습니다
스타필트 핏자집 기대,먹어도 먹어도 손이 계속 가는 타코 피자!다른 곳에서는 먹어볼 수 없는 특별한 메뉴로 아주 매력만점! 갈릭디핑소스는 필수인거 아시죠~?,오고싶었던 곳 드디어 왔어요^^ 사장님께서 친절하시고 신경써주셔서 편하게 식사할수있었어요~ 묵은지로 먹었는데 푸짐하고 맛있게 아주아주 잘먹었습니다~ 담번엔 2단계로 먹으러올께요~감사합니다♡♡
제가 베트남 한국에서 먹은 쌀국수 중에 제일 맛있어요. 현지 느낌나면서 맛이 더 다채로워요. 재방문도 많이해서 모든 메뉴를 먹어보았는데요. 쌀국수는 기본으로 드시고 짜조는 반드시 시키세요. 베트남에서 먹은 짜조보다 더맛있어요.,고기짜조가 진짜 맛있었어요 모닝글로리는 살짝짜서 쪼금 아쉬웠어요 쌀국수는 양이 진짜 많았어요 잘먹었습니다~~^^^,니꾸우동이랑 파돈까스?먹음우리가 알고 있는 우동 국물이 아님 엄청 찐함 국물 죽임👍파돈까스 괜찮았음담에 이렇개 두개 또 먹을 듯
네이버주문해서 포장해서먹었어요 잡내 하나도안나고 야들야들 맛있습니다 많이파세요!!,믿고 먹는 족발 맛집!! 도야족발보쌈!!족발이랑 사장님 둘 다 친절하시고 매장도 깨끗해서 가족이나 친구들과 함께하기에 정말 좋습니다 ㅎㅎ사장님께서 족발 삶고 손질하시는 솜씨도 예술이셔서 족발이 살도 얇고 야들야들 쫄깃쫄깃해서 아이들이나 할머니 할아버지 모시고 가족 다 같이 방문하기에 정말 좋은 곳입니다!! 매우 강추요!! 👍👍👍👍👍👍그리고 족발 시키면 막국수도 같이 오고 반찬에 새우젓도 많이 주셔서 아낌없이 주는 도야족발 한번도 안 먹어본 사람은 있어도 한번만 먹은 사람은 없다는 하남시 최고 족발맛집!! 지금 바로 주문하세요!! ☎️☎️위치는 미사역 3번 출구에서 쭉 길따라 나오셔서 횡단보도 한번 건너시고 다음 횡단보도 건너시기 직전에 바로 매장이 위치해 있습니다!!본 리뷰는 내돈내산 입니다.,프라이빗한 룸이어서 너무 마음에 들었어요.고기도 맛있고 생일이벤트도 너무 좋았습니다!!반찬도 다 제 입맛에 딱 맞아서 좋았어요.육회도 맛있다고 해서 주문했는데 역시 맛있네요👍가격 맛 친절 모두 잡은 식당이에요!!다음에는 부모님 모시고 가려고요 😊
자주 가는 맛집♡♡♡,아이가 유튜브보고 가보고 싶다고  노래를 불러서 다녀왔어요 가격대비 양도많고 가성비 좋네요~다음엔 돼지고기 먹어봐야겠어요직원분들도 다들 친절하십니다😊,깔끔하게 운영되고 있네요
고기의 품질이 좋고 맛있습니다.그리고 후식으로 나오는 냉면이 진짜 맛있어요.,고기구워준다는 리뷰보고 갔는데 사장님은 주방에서 나오지도 않아 우리가 직접굽고 불판도 직접 갈아가며 먹었어요고기는 질기고 맛도 없고 양도 적고 냉면도 맛없고 달기만 해요맛있다는 리뷰보고 간건데 대체 리뷰는 누가쓴건지 의심스럽네요 이렇게 맛없는 돼지갈비 처음이네요 서비스도 엉망이고 다신 가고싶지 않아요,찬이 다 깔끔하고 가게 내부도 청결해서좋아요 추어탕 맛있고 김치가 갓담궈서 맛있어용 강추~!
